Species,InitialCondition,Units,Comment
Antibody_BBB,0,,
Antibody_BCSFB,0,,
Antibody_BrainISF,0,,
Antibody_BrainVascular,0,,
Antibody_CSF,0,,
Antibody_Lymph,0,,
Antibody_Plasma,Antibody_IV_Dose,,
Antibody_TissueEndosomal,0,,
Antibody_TissueISF,0,,
Antibody_TissueVascular,0,,
Antibody__FcRn_BBB,0,,
Antibody__FcRn_BCSFB,0,,
Antibody__FcRn_TissueEndosomal,0,,
FcRn_BBB,FcRn*V_BBB,,
FcRn_BCSFB,FcRn*V_BCSFB,,
FcRn_TissueEndosomal,FcRn*V_TissueEndosomal,,
