time,A
0.0,0.0065019200998392085
1.009009009009009,0.09378708776407567
2.018018018018018,0.10826791163625112
2.978978978978979,0.25737446183323925
3.987987987987988,0.06221800910235299
4.996996996996997,0.22391974302079615
6.006006006006006,0.05062177811011111
7.015015015015015,0.33484159316386664
7.975975975975976,0.001792675735340681
8.984984984984985,0.28357923562557086
9.993993993993994,0.43243770077888866
11.003003003003004,3.656263655495829
12.012012012012011,2.702053707053377
13.02102102102102,2.741632874695849
13.981981981981981,2.063698115370299
14.99099099099099,1.9670326924578205
16.0,1.4788507301212903
17.00900900900901,1.125019247485858
18.01801801801802,0.8185119649372508
18.97897897897898,1.033798831434583
19.98798798798799,0.4739165171925055
20.996996996996998,0.5626620640573681
22.006006006006007,0.20197493042469938
23.015015015015013,0.4635426907966545
23.975975975975977,0.3710294060433579
24.984984984984983,0.043110656716452145
25.993993993993993,0.23345010962189652
27.003003003003002,0.39030029333435273
28.01201201201201,0.31291020261580776
29.02102102102102,0.12650397360685078
29.98198198198198,0.05489182254879827
30.99099099099099,0.04509869818879522
32.0,0.5141487033161696
33.009009009009006,0.01036840966227924
34.01801801801802,0.30473497336964966
34.97897897897898,0.11716975275880004
35.987987987987985,0.2925979085358695
36.996996996997,0.1990507729456653
38.006006006006004,0.04044539495034882
39.01501501501502,0.5570692746247452
39.97597597597598,0.15334029331051302
40.98498498498498,0.3088185711392055
41.993993993993996,0.004235587479032261
43.003003003003,0.010274912604934098
44.012012012012015,0.16888479651315358
45.02102102102102,0.42903835788896316
45.98198198198198,0.3872791474402044
46.99099099099099,0.3092045893187219
48.0,0.020904956656330007
